               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	            Dolomite	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	 -3.163227950933e-03	
  0.000000000000e+00	  1.000000000000e+00	  0.000000000000e+00	  5.500000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	  1.000000000000e-94	 -3.163227950933e-03	
  1.000000000000e+00	  0.000000000000e+00	  1.500000000000e+01	  8.424893001445e+00	  1.947554382257e-02	  3.215314781356e-02	  4.484256890242e-02	  5.036690361281e-04	  0.000000000000e+00	  2.148184045957e-03	  6.559929526010e-05	  6.694959494375e+01	  3.692359117407e-03	  3.092175154175e+01	  1.345943501606e+02	  1.298315749108e+02	  8.225767301070e-01	  7.089803846837e-11	  1.953454487806e+00	  1.019957610644e+00	  1.381876640119e+00	
  2.000000000000e+00	  0.000000000000e+00	  3.000000000000e+01	  8.424893001221e+00	  1.893554534514e-02	  3.214632092183e-02	  4.479771264263e-02	  1.604240073440e-03	  0.000000000000e+00	  2.148184060844e-03	  1.294237572687e-04	  6.694959501467e+01	  3.692359117054e-03	  3.092175154108e+01	  1.345943500937e+02	  1.298315748453e+02	  8.225767305420e-01	  7.089803850586e-11	  1.953454485885e+00	  1.019957610643e+00	  1.381876639422e+00	
  3.000000000000e+00	  0.000000000000e+00	  4.500000000000e+01	  8.424893001008e+00	  1.840567139520e-02	  3.213949500134e-02	  4.475288645564e-02	  2.686507049329e-03	  0.000000000000e+00	  2.148184074956e-03	  1.922296305069e-04	  6.694959508190e+01	  3.692359116720e-03	  3.092175154045e+01	  1.345943500303e+02	  1.298315747833e+02	  8.225767309543e-01	  7.089803854139e-11	  1.953454484063e+00	  1.019957610643e+00	  1.381876638762e+00	
  4.000000000000e+00	  0.000000000000e+00	  6.000000000000e+01	  8.424893000807e+00	  1.788582474213e-02	  3.213267005202e-02	  4.470809033119e-02	  3.750645005830e-03	  0.000000000000e+00	  2.148184088299e-03	  2.540266400860e-04	  6.694959514547e+01	  3.692359116404e-03	  3.092175153985e+01	  1.345943499703e+02	  1.298315747247e+02	  8.225767313442e-01	  7.089803857499e-11	  1.953454482341e+00	  1.019957610643e+00	  1.381876638138e+00	
  5.000000000000e+00	  0.000000000000e+00	  7.500000000000e+01	  8.424893000618e+00	  1.737590818307e-02	  3.212584607381e-02	  4.466332425907e-02	  4.796828935076e-03	  0.000000000000e+00	  2.148184100882e-03	  3.148245083732e-04	  6.694959520541e+01	  3.692359116106e-03	  3.092175153929e+01	  1.345943499137e+02	  1.298315746693e+02	  8.225767317118e-01	  7.089803860668e-11	  1.953454480716e+00	  1.019957610643e+00	  1.381876637550e+00	
  6.000000000000e+00	  0.000000000000e+00	  9.000000000000e+01	  8.424893000440e+00	  1.687582454312e-02	  3.211902306663e-02	  4.461858822903e-02	  5.825233778843e-03	  0.000000000000e+00	  2.148184112712e-03	  3.746329549271e-04	  6.694959526176e+01	  3.692359115825e-03	  3.092175153876e+01	  1.345943498605e+02	  1.298315746173e+02	  8.225767320575e-01	  7.089803863647e-11	  1.953454479189e+00	  1.019957610643e+00	  1.381876636996e+00	
  7.000000000000e+00	  0.000000000000e+00	  1.050000000000e+02	  8.424893000273e+00	  1.638547667562e-02	  3.211220103041e-02	  4.457388223085e-02	  6.836034428075e-03	  0.000000000000e+00	  2.148184123796e-03	  4.334616964623e-04	  6.694959531457e+01	  3.692359115563e-03	  3.092175153826e+01	  1.345943498107e+02	  1.298315745686e+02	  8.225767323813e-01	  7.089803866438e-11	  1.953454477758e+00	  1.019957610643e+00	  1.381876636478e+00	
  8.000000000000e+00	  0.000000000000e+00	  1.200000000000e+02	  8.424893000117e+00	  1.590476746240e-02	  3.210537996508e-02	  4.452920625429e-02	  7.829405722415e-03	  0.000000000000e+00	  2.148184134143e-03	  4.913204468502e-04	  6.694959536386e+01	  3.692359115317e-03	  3.092175153780e+01	  1.345943497642e+02	  1.298315745231e+02	  8.225767326836e-01	  7.089803869043e-11	  1.953454476423e+00	  1.019957610643e+00	  1.381876635994e+00	
